epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7774,0.91957,4.2383,0.86947,0.00828,0.33607,0.01291,0.00763,0.6699,4.02243,0.78989,7.5e-05,7.5e-05,7.5e-05
2,48.8623,0.91335,2.88437,0.85041,0.02093,0.44373,0.24285,0.19147,0.66741,3.80222,0.78292,0.000159282,0.000159282,0.000159282
3,71.2331,0.88977,1.32428,0.81899,0.04502,0.61639,0.46822,0.37791,0.6657,3.41115,0.78516,0.0002401,0.0002401,0.0002401
4,90.8928,0.78897,1.09744,0.83226,0.04263,0.64851,0.45816,0.36084,0.65251,3.28787,0.79236,0.000317452,0.000317452,0.000317452
5,114.369,0.81544,1.09884,0.82657,0.03597,0.6128,0.44271,0.35119,0.69856,3.25561,0.793,0.00039134,0.00039134,0.00039134
6,145.048,0.78888,1.02157,0.84309,0.0292,0.58813,0.42171,0.34763,0.71123,3.20181,0.7934,0.000461763,0.000461763,0.000461763
7,174.147,0.80178,0.99398,0.83917,0.02655,0.64877,0.41396,0.34055,0.7015,3.13777,0.79626,0.00052872,0.00052872,0.00052872
8,204.166,0.74414,0.94089,0.83188,0.02875,0.69553,0.47001,0.36028,0.66657,3.02986,0.79372,0.000592213,0.000592213,0.000592213
9,233.417,0.74938,0.87902,0.84072,0.03505,0.79959,0.60705,0.46435,0.74651,2.71286,0.80157,0.00065224,0.00065224,0.00065224
10,262.121,0.79439,0.88161,0.83769,0.87999,0.18359,0.66421,0.5002,0.71148,2.53047,0.79771,0.000708803,0.000708803,0.000708803
11,292.189,0.73508,0.88523,0.83413,0.88589,0.18745,0.6252,0.4814,0.72488,2.47379,0.80007,0.0007619,0.0007619,0.0007619
12,321.321,0.7644,0.85113,0.82517,0.87435,0.34504,0.6839,0.51987,0.74571,2.09627,0.80634,0.000811533,0.000811533,0.000811533
13,352.041,0.81424,0.8656,0.83795,0.86664,0.36516,0.69861,0.53421,0.70467,2.01618,0.8022,0.0008577,0.0008577,0.0008577
14,382.41,0.75321,0.81696,0.83335,0.89459,0.43062,0.68921,0.55188,0.71146,1.85828,0.80285,0.000900402,0.000900402,0.000900402
15,411.769,0.77426,0.83843,0.85047,0.83349,0.48792,0.70646,0.57513,0.69086,1.68543,0.79988,0.0009035,0.0009035,0.0009035
16,442.059,0.72782,0.81903,0.8255,0.96385,0.55386,0.75688,0.61837,0.65565,1.35928,0.7963,0.00087875,0.00087875,0.00087875
17,472.211,0.71098,0.76895,0.8261,0.95847,0.57256,0.76022,0.62324,0.6696,1.27793,0.79951,0.000854,0.000854,0.000854
