Frame,VehicleCount,Status
1,4,LOW
2,4,LOW
3,4,LOW
4,5,LOW
5,4,LOW
6,3,LOW
7,4,LOW
8,4,LOW
9,3,LOW
10,3,LOW
11,4,LOW
12,6,MEDIUM
13,6,MEDIUM
14,5,LOW
15,6,MEDIUM
16,4,LOW
17,4,LOW
18,4,LOW
19,5,LOW
20,5,LOW
21,4,LOW
22,6,MEDIUM
23,5,LOW
24,4,LOW
25,5,LOW
26,6,MEDIUM
27,6,MEDIUM
28,7,MEDIUM
29,7,MEDIUM
30,7,MEDIUM
31,7,MEDIUM
32,8,MEDIUM
33,7,MEDIUM
34,7,MEDIUM
35,7,MEDIUM
36,6,MEDIUM
37,8,MEDIUM
38,8,MEDIUM
39,8,MEDIUM
40,8,MEDIUM
41,7,MEDIUM
42,7,MEDIUM
43,6,MEDIUM
44,10,MEDIUM
45,8,MEDIUM
46,7,MEDIUM
47,7,MEDIUM
48,9,MEDIUM
49,9,MEDIUM
50,9,MEDIUM
51,9,MEDIUM
52,8,MEDIUM
53,8,MEDIUM
54,8,MEDIUM
55,8,MEDIUM
56,8,MEDIUM
57,9,MEDIUM
58,8,MEDIUM
59,8,MEDIUM
60,8,MEDIUM
61,7,MEDIUM
62,7,MEDIUM
63,7,MEDIUM
64,8,MEDIUM
65,5,LOW
66,7,MEDIUM
67,6,MEDIUM
68,7,MEDIUM
69,6,MEDIUM
70,6,MEDIUM
71,6,MEDIUM
72,6,MEDIUM
73,6,MEDIUM
74,5,LOW
75,5,LOW
76,5,LOW
77,5,LOW
78,6,MEDIUM
79,5,LOW
80,4,LOW
81,4,LOW
82,5,LOW
83,7,MEDIUM
84,7,MEDIUM
85,6,MEDIUM
86,7,MEDIUM
87,6,MEDIUM
88,7,MEDIUM
89,7,MEDIUM
90,6,MEDIUM
91,6,MEDIUM
92,5,LOW
93,4,LOW
94,7,MEDIUM
95,7,MEDIUM
96,7,MEDIUM
97,8,MEDIUM
98,8,MEDIUM
99,9,MEDIUM
100,9,MEDIUM
101,9,MEDIUM
102,9,MEDIUM
103,10,MEDIUM
104,9,MEDIUM
105,9,MEDIUM
106,9,MEDIUM
107,8,MEDIUM
108,8,MEDIUM
109,8,MEDIUM
110,8,MEDIUM
111,8,MEDIUM
112,8,MEDIUM
113,8,MEDIUM
114,8,MEDIUM
115,8,MEDIUM
116,8,MEDIUM
117,8,MEDIUM
118,7,MEDIUM
119,7,MEDIUM
120,8,MEDIUM
121,8,MEDIUM
122,9,MEDIUM
123,8,MEDIUM
124,8,MEDIUM
125,9,MEDIUM
126,8,MEDIUM
127,8,MEDIUM
128,10,MEDIUM
129,10,MEDIUM
130,10,MEDIUM
131,9,MEDIUM
132,9,MEDIUM
133,8,MEDIUM
134,8,MEDIUM
135,9,MEDIUM
136,10,MEDIUM
137,9,MEDIUM
138,8,MEDIUM
139,8,MEDIUM
140,7,MEDIUM
141,8,MEDIUM
142,8,MEDIUM
143,9,MEDIUM
144,8,MEDIUM
145,8,MEDIUM
146,9,MEDIUM
147,9,MEDIUM
148,9,MEDIUM
149,10,MEDIUM
150,9,MEDIUM
151,9,MEDIUM
152,9,MEDIUM
153,9,MEDIUM
154,8,MEDIUM
155,8,MEDIUM
156,7,MEDIUM
157,8,MEDIUM
158,8,MEDIUM
159,8,MEDIUM
160,8,MEDIUM
161,8,MEDIUM
162,9,MEDIUM
163,8,MEDIUM
164,9,MEDIUM
165,8,MEDIUM
166,8,MEDIUM
167,8,MEDIUM
168,7,MEDIUM
169,8,MEDIUM
170,8,MEDIUM
171,9,MEDIUM
172,8,MEDIUM
173,7,MEDIUM
174,7,MEDIUM
175,7,MEDIUM
176,5,LOW
177,6,MEDIUM
178,7,MEDIUM
179,7,MEDIUM
180,7,MEDIUM
181,6,MEDIUM
182,5,LOW
183,6,MEDIUM
184,6,MEDIUM
185,6,MEDIUM
186,6,MEDIUM
187,6,MEDIUM
188,6,MEDIUM
189,6,MEDIUM
190,6,MEDIUM
191,7,MEDIUM
192,5,LOW
193,5,LOW
194,6,MEDIUM
195,6,MEDIUM
196,6,MEDIUM
197,6,MEDIUM
198,6,MEDIUM
199,6,MEDIUM
200,6,MEDIUM
201,5,LOW
202,5,LOW
203,5,LOW
204,5,LOW
205,4,LOW
206,4,LOW
207,4,LOW
208,4,LOW
209,4,LOW
210,4,LOW
211,4,LOW
212,4,LOW
213,4,LOW
214,4,LOW
215,4,LOW
216,4,LOW
217,4,LOW
218,4,LOW
219,4,LOW
220,6,MEDIUM
221,5,LOW
222,5,LOW
223,5,LOW
224,5,LOW
225,4,LOW
226,4,LOW
227,4,LOW
228,5,LOW
229,6,MEDIUM
230,6,MEDIUM
231,6,MEDIUM
232,6,MEDIUM
233,6,MEDIUM
234,5,LOW
235,5,LOW
236,5,LOW
237,4,LOW
238,4,LOW
239,4,LOW
240,4,LOW
241,4,LOW
242,4,LOW
243,3,LOW
244,3,LOW
245,2,LOW
246,2,LOW
247,2,LOW
248,3,LOW
249,3,LOW
250,2,LOW
251,4,LOW
252,4,LOW
253,4,LOW
254,2,LOW
255,3,LOW
256,3,LOW
257,2,LOW
258,3,LOW
259,3,LOW
260,3,LOW
261,4,LOW
262,5,LOW
263,5,LOW
264,3,LOW
265,4,LOW
266,4,LOW
267,4,LOW
268,2,LOW
269,2,LOW
270,3,LOW
271,3,LOW
272,3,LOW
273,6,MEDIUM
274,6,MEDIUM
275,4,LOW
276,4,LOW
277,4,LOW
278,5,LOW
279,5,LOW
280,4,LOW
281,4,LOW
282,5,LOW
283,5,LOW
284,5,LOW
285,6,MEDIUM
286,6,MEDIUM
287,5,LOW
288,6,MEDIUM
289,5,LOW
290,3,LOW
291,3,LOW
292,4,LOW
293,4,LOW
294,4,LOW
295,5,LOW
296,7,MEDIUM
297,7,MEDIUM
298,6,MEDIUM
299,7,MEDIUM
300,7,MEDIUM
301,6,MEDIUM
302,6,MEDIUM
303,7,MEDIUM
304,7,MEDIUM
305,6,MEDIUM
306,6,MEDIUM
307,6,MEDIUM
308,6,MEDIUM
309,6,MEDIUM
310,6,MEDIUM
311,6,MEDIUM
312,6,MEDIUM
313,6,MEDIUM
314,6,MEDIUM
315,6,MEDIUM
316,6,MEDIUM
317,6,MEDIUM
318,7,MEDIUM
319,7,MEDIUM
320,7,MEDIUM
321,7,MEDIUM
322,7,MEDIUM
323,7,MEDIUM
324,6,MEDIUM
325,8,MEDIUM
326,7,MEDIUM
327,7,MEDIUM
328,6,MEDIUM
329,7,MEDIUM
330,8,MEDIUM
331,6,MEDIUM
